epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.2227,2.27349,13.4943,2.27547,0,0,0,0,1.9961,6.07408,3.38847,0.000657658,0.000657658,0.000657658
2,157.078,2.59203,5.01244,2.57245,0,0,0,0,nan,nan,nan,0.00127188,0.00127188,0.00127188
3,234.8,2.43028,5.12176,2.44566,0.00028,0.125,0.00018,0.0001,1.53706,4.57819,2.24041,0.0018333,0.0018333,0.0018333
4,311.449,2.3728,4.42343,2.3981,0,0,0,0,0,0.12109,0,0.0017624,0.0017624,0.0017624
5,388.768,2.28943,4.6125,2.3282,0.00033,0.375,0.00035,0.00013,2.19611,9.72938,2.68282,0.0016832,0.0016832,0.0016832
6,465.942,2.38476,4.62081,2.50491,0.00111,1,0.00715,0.00432,1.36194,6.53285,2.10607,0.001604,0.001604,0.001604
7,542.899,2.26125,4.30015,2.43156,0.36338,0.375,0.32005,0.19313,1.31693,77.1653,2.11757,0.0015248,0.0015248,0.0015248
8,620.268,2.19145,4.04274,2.26784,0.01503,0.125,0.00671,0.00256,1.69065,6.07248,2.12986,0.0014456,0.0014456,0.0014456
9,697.336,2.08989,3.63213,2.26924,0.14048,0.5,0.10536,0.0675,1.32658,3.72467,1.95357,0.0013664,0.0013664,0.0013664
10,774.253,2.10139,3.57957,2.26969,0.92166,0.75,0.90611,0.4224,1.80984,2.27861,2.33328,0.0012872,0.0012872,0.0012872
11,855.813,2.14656,3.46821,2.38201,0.67062,0.625,0.59561,0.40313,0.97804,1.83025,1.87213,0.001208,0.001208,0.001208
12,932.383,1.96159,3.29422,2.14623,0.70289,1,0.8911,0.56749,1.3008,1.44008,2.02144,0.0011288,0.0011288,0.0011288
13,1009.45,1.84704,3.03022,2.04194,0.79229,0.95666,0.90929,0.72372,0.96151,1.28276,1.71968,0.0010496,0.0010496,0.0010496
14,1086.3,2.02084,3.27111,2.20623,0.71969,0.875,0.89767,0.58135,1.10643,1.09005,1.81762,0.0009704,0.0009704,0.0009704
15,1163.63,1.99868,2.94705,2.2158,0.55687,0.78768,0.78635,0.54573,1.00654,1.3809,1.68625,0.0008912,0.0008912,0.0008912
16,1240.84,1.73337,3.02728,2.04134,0.65461,1,0.88,0.59984,1.16677,2.22609,1.78884,0.000812,0.000812,0.000812
17,1317.21,1.72776,2.8397,2.01885,0.6619,0.98036,0.88029,0.72604,0.81352,1.29047,1.46669,0.0007328,0.0007328,0.0007328
18,1392.98,1.58454,2.74374,1.82849,1,0.84614,0.995,0.77878,0.77188,1.13108,1.42688,0.0006536,0.0006536,0.0006536
19,1469.6,1.58335,2.64406,1.93223,0.71182,1,0.89682,0.61937,1.01379,1.17383,1.65482,0.0005744,0.0005744,0.0005744
20,1545.7,1.62681,2.61069,1.99458,0.89615,0.875,0.971,0.78,0.83823,0.90316,1.53428,0.0004952,0.0004952,0.0004952
21,1621.7,1.59947,2.7867,1.93379,1,0.86066,0.96227,0.71885,0.94833,0.94028,1.58113,0.000416,0.000416,0.000416
22,1697.63,1.58195,2.58259,1.91958,1,0.97495,0.995,0.70093,0.95018,0.89293,1.56634,0.0003368,0.0003368,0.0003368
23,1773.56,1.48478,2.40431,1.85487,0.96145,0.875,0.96227,0.77299,0.73904,0.80478,1.41269,0.0002576,0.0002576,0.0002576
24,1850.04,1.51992,2.5254,1.90792,0.95445,0.875,0.971,0.7573,0.80027,0.74257,1.47752,0.0001784,0.0001784,0.0001784
25,1926.19,1.54778,2.53577,1.94438,0.98592,0.875,0.98167,0.73295,0.81833,0.74258,1.48658,9.92e-05,9.92e-05,9.92e-05
