epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0796,2.48019,11.6251,2.33749,0,0,0,0,2.113,5.33186,9.46329,0.000657658,0.000657658,0.000657658
2,67.4589,2.35561,4.4239,2.32595,0.00051,0.25,0.00044,0.00025,1.01519,nan,1.46515,0.00127188,0.00127188,0.00127188
3,98.7598,2.16964,4.35989,2.21789,0,0,0,0,0,0.15527,0,0.0018333,0.0018333,0.0018333
4,129.875,2.18384,3.58557,2.3539,0.10222,0.875,0.10124,0.06011,1.0384,77.0531,1.87567,0.0017624,0.0017624,0.0017624
5,161.82,2.21352,3.78235,2.21464,0.00243,0.875,0.00639,0.00375,1.45348,4.78197,2.15573,0.0016832,0.0016832,0.0016832
6,193.554,2.23467,3.34162,2.35338,0.35343,0.5,0.43906,0.18752,1.25332,4.75133,2.03465,0.001604,0.001604,0.001604
7,225.693,2.14661,3.35012,2.27992,0.87126,0.84883,0.86508,0.68178,1.2451,7.54455,1.86381,0.0015248,0.0015248,0.0015248
8,258.018,2.04596,3.22697,2.114,0.60196,0.5,0.57639,0.46489,1.19234,3.77255,1.819,0.0014456,0.0014456,0.0014456
9,290.279,2.02388,2.71557,2.17568,0.87383,1,0.89833,0.71956,0.98458,1.64959,1.61837,0.0013664,0.0013664,0.0013664
10,322.324,2.00658,2.71939,2.18141,0.88658,0.97926,0.98167,0.65627,1.26001,1.19479,1.76614,0.0012872,0.0012872,0.0012872
11,354.852,1.88074,2.65088,2.07868,0.31862,0.625,0.56427,0.33247,1.24534,2.83645,1.99523,0.001208,0.001208,0.001208
12,387.397,1.81959,2.71188,1.95715,0.85121,0.875,0.91477,0.69886,1.19054,1.52747,1.83346,0.0011288,0.0011288,0.0011288
13,419.447,1.66307,2.54337,1.84609,0.89403,0.625,0.82831,0.65693,1.01997,1.5369,1.63259,0.0010496,0.0010496,0.0010496
14,452.258,1.88715,2.76604,2.00114,0.86898,1,0.93944,0.69804,1.06231,0.90417,1.6098,0.0009704,0.0009704,0.0009704
15,485.563,1.83454,2.58773,2.01725,0.71723,0.625,0.64092,0.49174,1.04863,1.58121,1.65443,0.0008912,0.0008912,0.0008912
16,518.375,1.66943,2.58292,1.90298,0.87751,1,0.95389,0.70273,1.15774,1.14744,1.68398,0.000812,0.000812,0.000812
17,550.706,1.51981,2.26568,1.85705,0.96569,0.875,0.94357,0.79613,0.77652,0.94841,1.39039,0.0007328,0.0007328,0.0007328
18,583.584,1.47051,2.22098,1.69683,0.7207,0.875,0.85214,0.61368,0.82177,1.12005,1.48328,0.0006536,0.0006536,0.0006536
19,615.955,1.51767,2.25739,1.79243,0.92835,0.875,0.939,0.69274,0.9418,0.98995,1.50198,0.0005744,0.0005744,0.0005744
20,647.883,1.44708,2.22763,1.75089,0.95353,0.875,0.96227,0.75939,0.84852,0.91199,1.46299,0.0004952,0.0004952,0.0004952
21,680.449,1.43236,2.31522,1.72836,0.87565,1,0.93944,0.73762,0.7372,0.93308,1.33123,0.000416,0.000416,0.000416
22,712.515,1.30982,2.22515,1.62307,0.88355,0.95197,0.98167,0.78751,0.82788,1.02161,1.40534,0.0003368,0.0003368,0.0003368
23,744.889,1.30065,2.06755,1.64726,0.88785,0.99069,0.98167,0.81758,0.71139,0.85379,1.29343,0.0002576,0.0002576,0.0002576
24,777.683,1.3657,2.20855,1.73056,0.99752,1,0.995,0.85438,0.68335,0.72572,1.25457,0.0001784,0.0001784,0.0001784
25,813.901,1.35338,2.13052,1.72287,1,0.98824,0.995,0.8112,0.75278,0.7474,1.29368,9.92e-05,9.92e-05,9.92e-05
