epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.01601,2.20237,5.72883,3.43382,2.45525,0.00863,0.20139,0.00889,0.00191,0.00104,0.02431,0.00056,7e-05,3.74348,4.96228,3.4758,3.5149,0.00011432,0.00011432,0.00011432
2,15.5044,2.14981,5.35691,4.0107,2.36936,0.34509,0.34722,0.01391,0.00363,0.00053,0.02083,0.00028,7e-05,2.95856,7.29122,inf,3.33277,0.00023331,0.00023331,0.00023331
3,26.6802,2.19002,4.2351,3.2812,2.34106,0,0,0,0,0,0,0,0,5.77847,516.642,inf,9.60794,0.000342114,0.000342114,0.000342114
4,34.0242,1.93478,3.74977,2.55159,2.2502,0.00658,0.12153,0.0048,0.00096,0.00019,0.00347,0.0001,2e-05,nan,nan,nan,nan,0.000440732,0.000440732,0.000440732
5,40.875,1.8826,3.91212,2.40386,2.19973,0,0,0,0,0,0,0,0,3.91561,446.246,inf,17.0638,0.000529164,0.000529164,0.000529164
6,48.0477,1.83136,3.6126,2.14114,2.16575,0,0,0,0,0,0,0,0,4.71159,5849.34,inf,21.6861,0.000607411,0.000607411,0.000607411
7,54.8708,1.86329,3.66168,2.09619,2.1401,0.00084,0.02778,0.0004,0.00013,0.33377,0.01389,0.00019,6e-05,4.65023,nan,271.808,25.7098,0.000675471,0.000675471,0.000675471
8,61.6633,1.77206,3.49594,2.05977,2.11043,0.01165,0.0625,0.00606,0.00108,0,0,0,0,4.39986,19804.5,82.9626,45.8804,0.000733346,0.000733346,0.000733346
9,68.4493,1.7093,3.35175,1.94727,2.07316,0.00825,0.33333,0.00766,0.00106,0,0,0,0,3.96174,nan,inf,129.401,0.000781034,0.000781034,0.000781034
10,75.4326,1.77511,3.33958,1.88623,2.07225,0.00102,0.08333,0.00077,8e-05,0,0,0,0,4.9734,8755.21,inf,227.63,0.000818537,0.000818537,0.000818537
11,82.3053,1.70456,3.41873,1.85021,2.05943,0,0,0,0,0,0,0,0,6.26706,nan,inf,803.727,0.000845854,0.000845854,0.000845854
12,89.052,1.61602,3.21508,1.75069,1.92502,0,0,0,0,0,0,0,0,6.65861,7605.05,inf,88.5648,0.000806528,0.000806528,0.000806528
13,95.9666,1.50814,3.26587,1.73869,1.91637,0.02051,0.06944,0.00997,0.00306,0.02608,0.07639,0.00973,0.00286,3.61116,21.5963,5.87332,3.942,0.000749939,0.000749939,0.000749939
14,107.641,1.45725,3.08052,1.58108,1.84925,0.43788,0.18056,0.09341,0.03414,0.44994,0.20139,0.11104,0.03876,2.40947,5.44141,3.68922,3.19115,0.000693351,0.000693351,0.000693351
15,114.556,1.5092,3.11851,1.56875,1.86303,0.50073,0.18056,0.18644,0.07907,0.50357,0.18485,0.17208,0.06909,2.07337,5.23198,2.73016,2.77669,0.000636762,0.000636762,0.000636762
16,123.806,1.36388,2.84395,1.60782,1.90956,0.52318,0.20486,0.20367,0.09215,0.52318,0.20486,0.19639,0.08297,2.26602,7.48967,2.09721,2.91278,0.000580174,0.000580174,0.000580174
17,137.788,1.34949,2.7627,1.47275,1.98401,0.26235,0.24653,0.1966,0.07792,0.54403,0.14583,0.15218,0.06393,2.60211,10.617,2.21266,3.14964,0.000523586,0.000523586,0.000523586
18,145.48,1.35185,2.75336,1.43942,1.93132,0.2982,0.37718,0.29481,0.13637,0.35613,0.29861,0.29902,0.11209,2.04194,4.53776,1.67334,2.70431,0.000466997,0.000466997,0.000466997
19,155.913,1.35928,2.69519,1.3124,1.97505,0.39016,0.46565,0.39743,0.1542,0.27336,0.26683,0.25654,0.1086,1.83011,3.75545,2.05483,2.53794,0.000410409,0.000410409,0.000410409
20,172.575,1.31781,2.67287,1.21658,1.90768,0.51597,0.55633,0.52629,0.16964,0.2565,0.24865,0.23792,0.0954,1.80419,3.49471,1.9133,2.45705,0.00035382,0.00035382,0.00035382
21,181.994,1.28255,2.59285,1.1636,1.85108,0.59219,0.63889,0.62005,0.28476,0.34476,0.33681,0.30449,0.11642,1.65694,3.24301,1.68188,2.32342,0.000297232,0.000297232,0.000297232
22,192.685,1.24765,2.57776,1.1415,1.8356,0.89526,0.67867,0.79058,0.4545,0.41677,0.48611,0.47845,0.20974,1.47343,2.95497,1.25529,2.17473,0.000240644,0.000240644,0.000240644
23,202.524,1.21597,2.47867,1.05871,1.84841,0.85846,0.74102,0.8331,0.52152,0.64263,0.47134,0.53175,0.24052,1.34416,2.8206,1.06068,2.05386,0.000184055,0.000184055,0.000184055
24,209.929,1.1966,2.4817,1.05836,1.84236,0.89338,0.71205,0.84473,0.53372,0.51003,0.50347,0.53452,0.24586,1.32979,2.79418,1.03658,2.02084,0.000127467,0.000127467,0.000127467
25,217.613,1.16868,2.47635,1.04917,1.8152,0.94829,0.70645,0.85854,0.54792,0.5083,0.52778,0.55259,0.25528,1.32108,2.75381,1.02544,2.00208,7.08784e-05,7.08784e-05,7.08784e-05
